NumThreads,Result,Time,
1,1.17616e+19,0.0332385,
2,1.17616e+19,0.025441,
4,1.17616e+19,0.0143001,
8,1.17616e+19,0.00754703,
16,1.17616e+19,0.00426988,
1,1.17616e+19,0.0241815,
2,1.17616e+19,0.0227011,
4,1.17616e+19,0.0139989,
8,1.17616e+19,0.00748203,
16,1.17616e+19,0.00415997,
1,1.17616e+19,0.02383,
2,1.17616e+19,0.0266896,
4,1.17616e+19,0.014327,
8,1.17616e+19,0.0074639,
16,1.17616e+19,0.00413318,
1,1.17616e+19,0.027873,
2,1.17616e+19,0.0240255,
4,1.17616e+19,0.0143622,
8,1.17616e+19,0.00750412,
16,1.17616e+19,0.00416971,
1,1.17616e+19,0.0239774,
2,1.17616e+19,0.0224302,
4,1.17616e+19,0.0142992,
8,1.17616e+19,0.00752297,
16,1.17616e+19,0.00416492,
1,1.17616e+19,0.0239598,
2,1.17616e+19,0.0273727,
4,1.17616e+19,0.0145716,
8,1.17616e+19,0.00732245,
16,1.17616e+19,0.00413376,
1,1.17616e+19,0.0241508,
2,1.17616e+19,0.0261613,
4,1.17616e+19,0.0144425,
8,1.17616e+19,0.00744983,
16,1.17616e+19,0.00415318,
1,1.17616e+19,0.0278498,
2,1.17616e+19,0.0241643,
4,1.17616e+19,0.0143509,
8,1.17616e+19,0.00750648,
16,1.17616e+19,0.00415268,
1,1.17616e+19,0.0237417,
2,1.17616e+19,0.022645,
4,1.17616e+19,0.013476,
8,1.17616e+19,0.00751139,
16,1.17616e+19,0.00406391,
1,1.17616e+19,0.0238378,
2,1.17616e+19,0.0270919,
4,1.17616e+19,0.0142611,
8,1.17616e+19,0.0075368,
16,1.17616e+19,0.00415133,
1,1.17616e+19,0.024072,
2,1.17616e+19,0.026649,
4,1.17616e+19,0.0144963,
8,1.17616e+19,0.00731211,
16,1.17616e+19,0.00420691,
1,1.17616e+19,0.0239985,
2,1.17616e+19,0.0256265,
4,1.17616e+19,0.0117972,
8,1.17616e+19,0.00730658,
16,1.17616e+19,0.00398066,
1,1.17616e+19,0.023751,
2,1.17616e+19,0.0201958,
4,1.17616e+19,0.0145607,
8,1.17616e+19,0.00743721,
16,1.17616e+19,0.00418971,
1,1.17616e+19,0.0239057,
2,1.17616e+19,0.0258414,
4,1.17616e+19,0.0144447,
8,1.17616e+19,0.00742378,
16,1.17616e+19,0.00418569,
1,1.17616e+19,0.0240088,
2,1.17616e+19,0.0269172,
4,1.17616e+19,0.0145913,
8,1.17616e+19,0.00743687,
16,1.17616e+19,0.00413309,
1,1.17616e+19,0.0239513,
2,1.17616e+19,0.0260241,
4,1.17616e+19,0.0125064,
8,1.17616e+19,0.00754262,
16,1.17616e+19,0.00417482,
1,1.17616e+19,0.0278824,
2,1.17616e+19,0.0240791,
4,1.17616e+19,0.0142125,
8,1.17616e+19,0.00729561,
16,1.17616e+19,0.0041842,
1,1.17616e+19,0.0239258,
2,1.17616e+19,0.0199932,
4,1.17616e+19,0.0145262,
8,1.17616e+19,0.00733021,
16,1.17616e+19,0.00395233,
1,1.17616e+19,0.0239417,
2,1.17616e+19,0.0241174,
4,1.17616e+19,0.0146737,
8,1.17616e+19,0.00745886,
16,1.17616e+19,0.00414494,
1,1.17616e+19,0.0240321,
2,1.17616e+19,0.0268239,
4,1.17616e+19,0.0146121,
8,1.17616e+19,0.00749032,
16,1.17616e+19,0.00427185,
1,1.17616e+19,0.0238608,
2,1.17616e+19,0.0247299,
4,1.17616e+19,0.0140234,
8,1.17616e+19,0.00738912,
16,1.17616e+19,0.00415535,
1,1.17616e+19,0.0243365,
2,1.17616e+19,0.0245622,
4,1.17616e+19,0.0134372,
8,1.17616e+19,0.00728313,
16,1.17616e+19,0.00414716,
1,1.17616e+19,0.023858,
2,1.17616e+19,0.0272384,
4,1.17616e+19,0.0144218,
8,1.17616e+19,0.00737632,
16,1.17616e+19,0.00418448,
1,1.17616e+19,0.0237967,
2,1.17616e+19,0.024368,
4,1.17616e+19,0.0144299,
8,1.17616e+19,0.00718748,
16,1.17616e+19,0.00413588,
1,1.17616e+19,0.0238271,
2,1.17616e+19,0.0213741,
4,1.17616e+19,0.0136744,
8,1.17616e+19,0.00743579,
16,1.17616e+19,0.00417935,
1,1.17616e+19,0.0238644,
2,1.17616e+19,0.0256727,
4,1.17616e+19,0.0143715,
8,1.17616e+19,0.00742631,
16,1.17616e+19,0.00429056,
1,1.17616e+19,0.0236337,
2,1.17616e+19,0.0214764,
4,1.17616e+19,0.0143568,
8,1.17616e+19,0.0075315,
16,1.17616e+19,0.00401033,
1,1.17616e+19,0.0238428,
2,1.17616e+19,0.0257941,
4,1.17616e+19,0.0143858,
8,1.17616e+19,0.00745421,
16,1.17616e+19,0.00435859,
1,1.17616e+19,0.0236572,
2,1.17616e+19,0.0248076,
4,1.17616e+19,0.0146271,
8,1.17616e+19,0.00750133,
16,1.17616e+19,0.00407897,
1,1.17616e+19,0.0238587,
2,1.17616e+19,0.0243796,
4,1.17616e+19,0.014576,
8,1.17616e+19,0.00750276,
16,1.17616e+19,0.00413608,
1,1.17616e+19,0.0240416,
2,1.17616e+19,0.027366,
4,1.17616e+19,0.0143142,
8,1.17616e+19,0.00750776,
16,1.17616e+19,0.00418891,
1,1.17616e+19,0.0238858,
2,1.17616e+19,0.0212621,
4,1.17616e+19,0.0145441,
8,1.17616e+19,0.00752545,
16,1.17616e+19,0.00415403,
1,1.17616e+19,0.0238913,
2,1.17616e+19,0.0271912,
4,1.17616e+19,0.0144398,
8,1.17616e+19,0.00728532,
16,1.17616e+19,0.00422691,
1,1.17616e+19,0.0241333,
2,1.17616e+19,0.0262087,
4,1.17616e+19,0.0146013,
8,1.17616e+19,0.00741082,
16,1.17616e+19,0.00414887,
1,1.17616e+19,0.0240716,
2,1.17616e+19,0.0191378,
4,1.17616e+19,0.0134928,
8,1.17616e+19,0.00739606,
16,1.17616e+19,0.00419415,
1,1.17616e+19,0.0238116,
2,1.17616e+19,0.0200504,
4,1.17616e+19,0.0144613,
8,1.17616e+19,0.00747281,
16,1.17616e+19,0.00417215,
1,1.17616e+19,0.0238812,
2,1.17616e+19,0.0210878,
4,1.17616e+19,0.0142583,
8,1.17616e+19,0.00744431,
16,1.17616e+19,0.00412757,
1,1.17616e+19,0.0238636,
2,1.17616e+19,0.0256267,
4,1.17616e+19,0.0140344,
8,1.17616e+19,0.00767518,
16,1.17616e+19,0.0041923,
1,1.17616e+19,0.0239452,
2,1.17616e+19,0.0245235,
4,1.17616e+19,0.0116914,
8,1.17616e+19,0.00738342,
16,1.17616e+19,0.00416731,
1,1.17616e+19,0.0239638,
2,1.17616e+19,0.0241759,
