Method,2,4,8,16
naive,1.8810,3.1910,5.6154,6.4396
bitwise,1.8064,3.0627,5.4829,6.1806
trans,1.9034,3.1468,5.6607,6.1798
simd,1.6915,2.8975,5.3091,9.9228
numa,1.7050,2.8757,5.2308,9.6371
