Num Threads,Result,Time,1,1.17616e+19,0.187706,
2,1.17616e+19,0.106678,
4,1.17616e+19,0.061495,
8,1.17616e+19,0.0362246,
16,1.17616e+19,0.0272253,
1,1.17616e+19,0.171545,
2,1.17616e+19,0.106712,
4,1.17616e+19,0.0619945,
8,1.17616e+19,0.0359437,
16,1.17616e+19,0.0244917,
1,1.17616e+19,0.175519,
2,1.17616e+19,0.10683,
4,1.17616e+19,0.0625656,
8,1.17616e+19,0.0410471,
16,1.17616e+19,0.0223177,
1,1.17616e+19,0.170113,
2,1.17616e+19,0.106388,
4,1.17616e+19,0.062289,
8,1.17616e+19,0.0362497,
16,1.17616e+19,0.0213339,
1,1.17616e+19,0.162195,
2,1.17616e+19,0.106585,
4,1.17616e+19,0.0607438,
8,1.17616e+19,0.0370297,
16,1.17616e+19,0.0282622,
1,1.17616e+19,0.177198,
2,1.17616e+19,0.104339,
4,1.17616e+19,0.0611129,
8,1.17616e+19,0.0364942,
16,1.17616e+19,0.0206344,
1,1.17616e+19,0.161865,
2,1.17616e+19,0.105553,
4,1.17616e+19,0.0623017,
8,1.17616e+19,0.0416813,
16,1.17616e+19,0.0224022,
1,1.17616e+19,0.16022,
2,1.17616e+19,0.106936,
4,1.17616e+19,0.0617484,
8,1.17616e+19,0.0590439,
16,1.17616e+19,0.0275497,
1,1.17616e+19,0.182439,
2,1.17616e+19,0.10591,
4,1.17616e+19,0.0625889,
8,1.17616e+19,0.0412817,
16,1.17616e+19,0.0247849,
1,1.17616e+19,0.16019,
2,1.17616e+19,0.106578,
4,1.17616e+19,0.0625214,
8,1.17616e+19,0.041646,
16,1.17616e+19,0.0283687,
1,1.17616e+19,0.164878,
2,1.17616e+19,0.106246,
4,1.17616e+19,0.0613408,
8,1.17616e+19,0.0591053,
16,1.17616e+19,0.0272184,
1,1.17616e+19,0.17451,
2,1.17616e+19,0.106096,
4,1.17616e+19,0.0650737,
8,1.17616e+19,0.0361032,
16,1.17616e+19,0.024425,
1,1.17616e+19,0.175613,
2,1.17616e+19,0.106217,
4,1.17616e+19,0.0607318,
8,1.17616e+19,0.0362146,
16,1.17616e+19,0.0208358,
1,1.17616e+19,0.181393,
2,1.17616e+19,0.105899,
4,1.17616e+19,0.0625637,
