NumThreads,Result,Time,
1,1.49439e+17,2.63816,
2,1.49439e+17,1.40972,
4,1.49439e+17,0.804741,
8,1.49439e+17,0.455577,
16,1.49439e+17,0.381839,
1,1.49439e+17,2.60539,
2,1.49439e+17,1.39868,
4,1.49439e+17,0.830597,
8,1.49439e+17,0.45857,
16,1.49439e+17,0.385935,
1,1.49439e+17,2.58922,
2,1.49439e+17,1.41061,
4,1.49439e+17,0.818609,
8,1.49439e+17,0.457291,
16,1.49439e+17,0.40055,
1,1.49439e+17,2.44825,
2,1.49439e+17,1.39527,
4,1.49439e+17,0.806219,
8,1.49439e+17,0.457751,
16,1.49439e+17,0.391795,
1,1.49439e+17,2.60985,
2,1.49439e+17,1.41117,
4,1.49439e+17,0.829872,
8,1.49439e+17,0.458294,
16,1.49439e+17,0.405009,
1,1.49439e+17,2.63652,
2,1.49439e+17,1.39669,
4,1.49439e+17,0.805722,
8,1.49439e+17,0.460716,
16,1.49439e+17,0.415553,
1,1.49439e+17,2.4455,
2,1.49439e+17,1.40755,
4,1.49439e+17,0.818617,
8,1.49439e+17,0.456893,
16,1.49439e+17,0.393572,
1,1.49439e+17,2.44032,
2,1.49439e+17,1.41442,
4,1.49439e+17,0.806106,
8,1.49439e+17,0.457247,
16,1.49439e+17,0.406895,
1,1.49439e+17,2.51854,
2,1.49439e+17,1.39999,
4,1.49439e+17,0.827107,
8,1.49439e+17,0.454058,
16,1.49439e+17,0.419087,
1,1.49439e+17,2.55236,
2,1.49439e+17,1.25246,
4,1.49439e+17,0.69529,
8,1.49439e+17,0.457786,
16,1.49439e+17,0.395499,
1,1.49439e+17,2.4667,
2,1.49439e+17,1.25595,
4,1.49439e+17,0.80743,
8,1.49439e+17,0.459187,
16,1.49439e+17,0.411077,
1,1.49439e+17,2.59351,
2,1.49439e+17,1.41021,
4,1.49439e+17,0.81682,
8,1.49439e+17,0.458849,
16,1.49439e+17,0.417056,
1,1.49439e+17,2.62006,
2,1.49439e+17,1.48437,
4,1.49439e+17,0.873469,
8,1.49439e+17,0.457738,
16,1.49439e+17,0.423161,
1,1.49439e+17,2.46676,
2,1.49439e+17,1.24594,
4,1.49439e+17,0.696,
8,1.49439e+17,0.456062,
16,1.49439e+17,0.393719,
1,1.49439e+17,2.64111,
2,1.49439e+17,1.39855,
4,1.49439e+17,0.818846,
8,1.49439e+17,0.458115,
16,1.49439e+17,0.396393,
1,1.49439e+17,2.40069,
2,1.49439e+17,1.42744,
4,1.49439e+17,0.804491,
8,1.49439e+17,0.454837,
16,1.49439e+17,0.41373,
1,1.49439e+17,2.4506,
2,1.49439e+17,1.25594,
4,1.49439e+17,0.804294,
8,1.49439e+17,0.455188,
16,1.49439e+17,0.386923,
1,1.49439e+17,2.45374,
2,1.49439e+17,1.39917,
4,1.49439e+17,0.816592,
8,1.49439e+17,0.4346,
16,1.49439e+17,0.390885,
1,1.49439e+17,2.42853,
2,1.49439e+17,1.25017,
4,1.49439e+17,0.807687,
8,1.49439e+17,0.457936,
16,1.49439e+17,0.411366,
1,1.49439e+17,2.45059,
2,1.49439e+17,1.39806,
4,1.49439e+17,0.805926,
8,1.49439e+17,0.457077,
16,1.49439e+17,0.403202,
1,1.49439e+17,2.39926,
2,1.49439e+17,1.40284,
4,1.49439e+17,0.817081,
8,1.49439e+17,0.478445,
16,1.49439e+17,0.393999,
1,1.49439e+17,2.42739,
2,1.49439e+17,1.42323,
4,1.49439e+17,0.816401,
8,1.49439e+17,0.415916,
16,1.49439e+17,0.403844,
1,1.49439e+17,2.61957,
2,1.49439e+17,1.24781,
4,1.49439e+17,0.815852,
8,1.49439e+17,0.456226,
16,1.49439e+17,0.385627,
1,1.49439e+17,2.59268,
2,1.49439e+17,1.25393,
4,1.49439e+17,0.80758,
8,1.49439e+17,0.414789,
16,1.49439e+17,0.384846,
1,1.49439e+17,2.44782,
2,1.49439e+17,1.25379,
4,1.49439e+17,0.820474,
8,1.49439e+17,0.458252,
16,1.49439e+17,0.397806,
1,1.49439e+17,2.45199,
2,1.49439e+17,1.4026,
4,1.49439e+17,0.821266,
8,1.49439e+17,0.463213,
16,1.49439e+17,0.387155,
1,1.49439e+17,2.70246,
2,1.49439e+17,1.41384,
4,1.49439e+17,0.688894,
8,1.49439e+17,0.456454,
16,1.49439e+17,0.409525,
1,1.49439e+17,2.4611,
2,1.49439e+17,1.27596,
4,1.49439e+17,0.834706,
8,1.49439e+17,0.550679,
16,1.49439e+17,0.403061,
1,1.49439e+17,2.67886,
2,1.49439e+17,1.25117,
4,1.49439e+17,0.816734,
8,1.49439e+17,0.455442,
16,1.49439e+17,0.403167,
1,1.49439e+17,2.63213,
2,1.49439e+17,1.59846,
4,1.49439e+17,0.909157,
8,1.49439e+17,0.544652,
