Num,Result,Time,
1,2.28396e+12,0.000811126,
2,2.28396e+12,0.00168123,
4,2.28396e+12,0.00039022,
8,2.28396e+12,0.00342986,
16,2.28396e+12,0.00939407,
1,2.28396e+12,0.000803653,
2,2.28396e+12,0.000501459,
4,2.28396e+12,0.00110778,
8,2.28396e+12,0.00388963,
16,2.28396e+12,0.00692468,
1,2.28396e+12,0.000872631,
2,2.28396e+12,0.000533627,
4,2.28396e+12,0.00178795,
8,2.28396e+12,0.00217482,
16,2.28396e+12,0.00620776,
1,2.28396e+12,0.000697877,
2,2.28396e+12,0.000496536,
4,2.28396e+12,0.000565497,
8,2.28396e+12,0.00377088,
16,2.28396e+12,0.00803696,
1,2.28396e+12,0.000617616,
2,2.28396e+12,0.000382856,
4,2.28396e+12,0.00167728,
8,2.28396e+12,0.00140575,
16,2.28396e+12,0.00409446,
1,2.28396e+12,0.000582587,
2,2.28396e+12,0.000361528,
4,2.28396e+12,0.00167539,
8,2.28396e+12,0.00326768,
16,2.28396e+12,0.00674917,
1,2.28396e+12,0.000526099,
2,2.28396e+12,0.000332607,
4,2.28396e+12,0.00176618,
8,2.28396e+12,0.00141712,
16,2.28396e+12,0.00486367,
1,2.28396e+12,0.000500493,
2,2.28396e+12,0.000316864,
4,2.28396e+12,0.00165709,
8,2.28396e+12,0.00322261,
16,2.28396e+12,0.00632997,
1,2.28396e+12,0.000499571,
2,2.28396e+12,0.000316117,
4,2.28396e+12,0.00180821,
8,2.28396e+12,0.00243031,
16,2.28396e+12,0.00398749,
1,2.28396e+12,0.00053294,
2,2.28396e+12,0.000357697,
4,2.28396e+12,0.00172934,
8,2.28396e+12,0.00233377,
16,2.28396e+12,0.0090424,
1,2.28396e+12,0.000499237,
2,2.28396e+12,0.000316955,
4,2.28396e+12,0.00162947,
8,2.28396e+12,0.00321535,
16,2.28396e+12,0.00407045,
1,2.28396e+12,0.00050007,
2,2.28396e+12,0.000320833,
4,2.28396e+12,0.00171936,
8,2.28396e+12,0.000523863,
16,2.28396e+12,0.00606408,
1,2.28396e+12,0.000499979,
2,2.28396e+12,0.000320703,
4,2.28396e+12,0.00162497,
8,2.28396e+12,0.00256918,
16,2.28396e+12,0.00417319,
1,2.28396e+12,0.0004999,
2,2.28396e+12,0.000340031,
4,2.28396e+12,0.0016699,
8,2.28396e+12,0.00335122,
16,2.28396e+12,0.00446882,
1,2.28396e+12,0.00049991,
2,2.28396e+12,0.000321861,
4,2.28396e+12,0.000520887,
8,2.28396e+12,0.00358058,
16,2.28396e+12,0.00445172,
1,2.28396e+12,0.000555832,
2,2.28396e+12,0.00431013,
4,2.28396e+12,0.00377393,
8,2.28396e+12,0.00437098,
16,2.28396e+12,0.00444297,
1,2.28396e+12,0.00050026,
2,2.28396e+12,0.00382811,
4,2.28396e+12,0.00376466,
8,2.28396e+12,0.00395919,
16,2.28396e+12,0.00804496,
1,2.28396e+12,0.000460798,
2,2.28396e+12,0.00419893,
4,2.28396e+12,0.0024496,
8,2.28396e+12,0.00132473,
16,2.28396e+12,0.00615987,
1,2.28396e+12,0.000375934,
2,2.28396e+12,0.0029805,
4,2.28396e+12,0.00252785,
8,2.28396e+12,0.00438931,
16,2.28396e+12,0.00487245,
1,2.28396e+12,0.000501269,
2,2.28396e+12,0.00087245,
4,2.28396e+12,0.00226792,
8,2.28396e+12,0.00226781,
16,2.28396e+12,0.00556855,
1,2.28396e+12,0.000511764,
2,2.28396e+12,0.00275799,
4,2.28396e+12,0.00249497,
8,2.28396e+12,0.00233959,
16,2.28396e+12,0.00450481,
1,2.28396e+12,0.000542771,
2,2.28396e+12,0.000322707,
4,2.28396e+12,0.00172773,
8,2.28396e+12,0.00324279,
16,2.28396e+12,0.00571565,
1,2.28396e+12,0.000500204,
2,2.28396e+12,0.000345226,
4,2.28396e+12,0.00179095,
8,2.28396e+12,0.00226488,
16,2.28396e+12,0.00609552,
1,2.28396e+12,0.000499332,
2,2.28396e+12,0.00031732,
4,2.28396e+12,0.00162696,
8,2.28396e+12,0.000442211,
16,2.28396e+12,0.00582964,
1,2.28396e+12,0.000499394,
2,2.28396e+12,0.000330999,
4,2.28396e+12,0.00163959,
8,2.28396e+12,0.00068137,
16,2.28396e+12,0.00606396,
1,2.28396e+12,0.000499086,
2,2.28396e+12,0.000318602,
4,2.28396e+12,0.00162128,
8,2.28396e+12,0.00343931,
16,2.28396e+12,0.00499997,
1,2.28396e+12,0.00054159,
2,2.28396e+12,0.000362294,
4,2.28396e+12,0.00182727,
8,2.28396e+12,0.00216277,
16,2.28396e+12,0.0061973,
1,2.28396e+12,0.000499295,
2,2.28396e+12,0.000318423,
