NumThreads,Result,Time,
1,1.49439e+17,0.719122,
2,1.49439e+17,0.372452,
4,1.49439e+17,0.202711,
8,1.49439e+17,0.123615,
16,1.49439e+17,0.0991116,
1,1.49439e+17,0.715121,
2,1.49439e+17,0.374517,
4,1.49439e+17,0.202,
8,1.49439e+17,0.152596,
16,1.49439e+17,0.112473,
1,1.49439e+17,0.708267,
2,1.49439e+17,0.371093,
4,1.49439e+17,0.202094,
8,1.49439e+17,0.12249,
16,1.49439e+17,0.113959,
1,1.49439e+17,0.623797,
2,1.49439e+17,0.371131,
4,1.49439e+17,0.201615,
8,1.49439e+17,0.12067,
16,1.49439e+17,0.0688909,
1,1.49439e+17,0.535542,
2,1.49439e+17,0.371815,
4,1.49439e+17,0.202678,
8,1.49439e+17,0.156758,
16,1.49439e+17,0.0719666,
1,1.49439e+17,0.522632,
2,1.49439e+17,0.371313,
4,1.49439e+17,0.201664,
8,1.49439e+17,0.121516,
16,1.49439e+17,0.111426,
1,1.49439e+17,0.689743,
2,1.49439e+17,0.372646,
4,1.49439e+17,0.21169,
8,1.49439e+17,0.118323,
16,1.49439e+17,0.140263,
1,1.49439e+17,0.684568,
2,1.49439e+17,0.371389,
4,1.49439e+17,0.203151,
8,1.49439e+17,0.117086,
16,1.49439e+17,0.108915,
1,1.49439e+17,0.653785,
2,1.49439e+17,0.373445,
4,1.49439e+17,0.202272,
8,1.49439e+17,0.119092,
16,1.49439e+17,0.115834,
1,1.49439e+17,0.618854,
2,1.49439e+17,0.372577,
4,1.49439e+17,0.203707,
8,1.49439e+17,0.124882,
16,1.49439e+17,0.103924,
1,1.49439e+17,0.664605,
2,1.49439e+17,0.372594,
4,1.49439e+17,0.209781,
8,1.49439e+17,0.125342,
16,1.49439e+17,0.116234,
1,1.49439e+17,0.606046,
2,1.49439e+17,0.371681,
4,1.49439e+17,0.202563,
8,1.49439e+17,0.161032,
16,1.49439e+17,0.0960879,
1,1.49439e+17,0.626119,
2,1.49439e+17,0.371546,
4,1.49439e+17,0.201839,
8,1.49439e+17,0.123692,
16,1.49439e+17,0.118251,
1,1.49439e+17,0.617507,
2,1.49439e+17,0.372854,
4,1.49439e+17,0.206648,
8,1.49439e+17,0.124234,
16,1.49439e+17,0.111518,
1,1.49439e+17,0.701277,
2,1.49439e+17,0.371783,
4,1.49439e+17,0.20644,
8,1.49439e+17,0.12529,
16,1.49439e+17,0.100058,
1,1.49439e+17,0.510041,
2,1.49439e+17,0.372445,
4,1.49439e+17,0.202513,
8,1.49439e+17,0.125422,
16,1.49439e+17,0.105972,
1,1.49439e+17,0.701305,
2,1.49439e+17,0.37254,
4,1.49439e+17,0.202465,
8,1.49439e+17,0.122571,
16,1.49439e+17,0.110429,
1,1.49439e+17,0.543767,
2,1.49439e+17,0.372575,
4,1.49439e+17,0.210424,
8,1.49439e+17,0.12325,
16,1.49439e+17,0.111899,
1,1.49439e+17,0.702299,
2,1.49439e+17,0.372427,
4,1.49439e+17,0.212014,
8,1.49439e+17,0.119039,
16,1.49439e+17,0.103735,
1,1.49439e+17,0.639624,
2,1.49439e+17,0.371505,
4,1.49439e+17,0.203654,
8,1.49439e+17,0.129937,
16,1.49439e+17,0.0861378,
1,1.49439e+17,0.532195,
2,1.49439e+17,0.368401,
4,1.49439e+17,0.202499,
8,1.49439e+17,0.118986,
16,1.49439e+17,0.113556,
1,1.49439e+17,0.68605,
2,1.49439e+17,0.373392,
4,1.49439e+17,0.208113,
8,1.49439e+17,0.144213,
16,1.49439e+17,0.110338,
1,1.49439e+17,0.521963,
2,1.49439e+17,0.374819,
4,1.49439e+17,0.211394,
8,1.49439e+17,0.121402,
