NumThreads,Result,Time,
1,1.49439e+17,2.31191,
2,1.49439e+17,1.26538,
4,1.49439e+17,0.735979,
8,1.49439e+17,0.39899,
16,1.49439e+17,0.214544,
1,1.49439e+17,2.09199,
2,1.49439e+17,1.25674,
4,1.49439e+17,0.741921,
8,1.49439e+17,0.398288,
16,1.49439e+17,0.216203,
1,1.49439e+17,2.09299,
2,1.49439e+17,1.24622,
4,1.49439e+17,0.745082,
8,1.49439e+17,0.39921,
16,1.49439e+17,0.215007,
1,1.49439e+17,2.10216,
2,1.49439e+17,1.2411,
4,1.49439e+17,0.727508,
8,1.49439e+17,0.400883,
16,1.49439e+17,0.215151,
1,1.49439e+17,2.09517,
2,1.49439e+17,1.25581,
4,1.49439e+17,0.757106,
8,1.49439e+17,0.398926,
16,1.49439e+17,0.21535,
1,1.49439e+17,2.09456,
2,1.49439e+17,1.25922,
4,1.49439e+17,0.748428,
8,1.49439e+17,0.4016,
16,1.49439e+17,0.216114,
1,1.49439e+17,2.27064,
2,1.49439e+17,1.24318,
4,1.49439e+17,0.738657,
8,1.49439e+17,0.399762,
16,1.49439e+17,0.214904,
1,1.49439e+17,2.0944,
2,1.49439e+17,1.24495,
4,1.49439e+17,0.740392,
8,1.49439e+17,0.398763,
16,1.49439e+17,0.215424,
1,1.49439e+17,2.09388,
2,1.49439e+17,1.25497,
4,1.49439e+17,0.741652,
8,1.49439e+17,0.398969,
16,1.49439e+17,0.2143,
1,1.49439e+17,2.09358,
2,1.49439e+17,1.25209,
4,1.49439e+17,0.73983,
8,1.49439e+17,0.399192,
16,1.49439e+17,0.216414,
1,1.49439e+17,2.12451,
2,1.49439e+17,1.24638,
4,1.49439e+17,0.743259,
8,1.49439e+17,0.399139,
16,1.49439e+17,0.213932,
1,1.49439e+17,2.09466,
2,1.49439e+17,1.25082,
4,1.49439e+17,0.745632,
8,1.49439e+17,0.398883,
16,1.49439e+17,0.214524,
1,1.49439e+17,2.09463,
2,1.49439e+17,1.30656,
4,1.49439e+17,0.738613,
8,1.49439e+17,0.401811,
16,1.49439e+17,0.214114,
1,1.49439e+17,2.09481,
2,1.49439e+17,1.24184,
4,1.49439e+17,0.749756,
8,1.49439e+17,0.398662,
16,1.49439e+17,0.215736,
1,1.49439e+17,2.0936,
