NumThreads,Result,Time,
1,1.49439e+17,2.5477,
2,1.49439e+17,1.48436,
4,1.49439e+17,0.853376,
8,1.49439e+17,0.484931,
16,1.49439e+17,0.387889,
1,1.49439e+17,2.54149,
2,1.49439e+17,1.39345,
4,1.49439e+17,0.796747,
8,1.49439e+17,0.453147,
16,1.49439e+17,0.407283,
1,1.49439e+17,2.39618,
2,1.49439e+17,1.37795,
4,1.49439e+17,0.801276,
8,1.49439e+17,0.472652,
16,1.49439e+17,0.391717,
1,1.49439e+17,2.3903,
2,1.49439e+17,1.36241,
4,1.49439e+17,0.78955,
8,1.49439e+17,0.445189,
16,1.49439e+17,0.373395,
1,1.49439e+17,2.36351,
2,1.49439e+17,1.36626,
4,1.49439e+17,0.786789,
8,1.49439e+17,0.443696,
16,1.49439e+17,0.385409,
1,1.49439e+17,2.55903,
2,1.49439e+17,1.37501,
4,1.49439e+17,0.789943,
8,1.49439e+17,0.445439,
16,1.49439e+17,0.405748,
1,1.49439e+17,2.52845,
2,1.49439e+17,1.36603,
4,1.49439e+17,0.790059,
8,1.49439e+17,0.446053,
16,1.49439e+17,0.388698,
1,1.49439e+17,2.36814,
2,1.49439e+17,1.36968,
4,1.49439e+17,0.802153,
8,1.49439e+17,0.44586,
16,1.49439e+17,0.400293,
1,1.49439e+17,2.37047,
2,1.49439e+17,1.38015,
4,1.49439e+17,0.799859,
8,1.49439e+17,0.443317,
16,1.49439e+17,0.387457,
1,1.49439e+17,2.36492,
2,1.49439e+17,1.37935,
4,1.49439e+17,0.800326,
8,1.49439e+17,0.467053,
16,1.49439e+17,0.399528,
1,1.49439e+17,2.42062,
2,1.49439e+17,1.38241,
4,1.49439e+17,0.801835,
8,1.49439e+17,0.444997,
16,1.49439e+17,0.380614,
1,1.49439e+17,2.42781,
2,1.49439e+17,1.39005,
4,1.49439e+17,0.799412,
8,1.49439e+17,0.448052,
16,1.49439e+17,0.383845,
1,1.49439e+17,2.38859,
2,1.49439e+17,1.36499,
4,1.49439e+17,0.791569,
8,1.49439e+17,0.444354,
16,1.49439e+17,0.410218,
1,1.49439e+17,2.38617,
2,1.49439e+17,1.36268,
4,1.49439e+17,0.802815,
8,1.49439e+17,0.444369,
16,1.49439e+17,0.39883,
1,1.49439e+17,2.38782,
2,1.49439e+17,1.22178,
4,1.49439e+17,0.672828,
8,1.49439e+17,0.443465,
16,1.49439e+17,0.394521,
1,1.49439e+17,2.35224,
2,1.49439e+17,1.38916,
4,1.49439e+17,0.790531,
8,1.49439e+17,0.444833,
16,1.49439e+17,0.400991,
1,1.49439e+17,2.54112,
2,1.49439e+17,1.39067,
4,1.49439e+17,0.670272,
8,1.49439e+17,0.467492,
16,1.49439e+17,0.409329,
1,1.49439e+17,2.54139,
2,1.49439e+17,1.36958,
4,1.49439e+17,0.791114,
8,1.49439e+17,0.445275,
16,1.49439e+17,0.397668,
1,1.49439e+17,2.38408,
2,1.49439e+17,1.22402,
4,1.49439e+17,0.786586,
8,1.49439e+17,0.443968,
16,1.49439e+17,0.375501,
1,1.49439e+17,2.35802,
2,1.49439e+17,1.36583,
4,1.49439e+17,0.813836,
8,1.49439e+17,0.446185,
16,1.49439e+17,0.394247,
1,1.49439e+17,2.3827,
2,1.49439e+17,1.21792,
4,1.49439e+17,0.80412,
8,1.49439e+17,0.444428,
16,1.49439e+17,0.38997,
1,1.49439e+17,2.38335,
2,1.49439e+17,1.36691,
4,1.49439e+17,0.677269,
8,1.49439e+17,0.445258,
16,1.49439e+17,0.397362,
1,1.49439e+17,2.55028,
2,1.49439e+17,1.3647,
4,1.49439e+17,0.802108,
8,1.49439e+17,0.445056,
16,1.49439e+17,0.385964,
1,1.49439e+17,2.53666,
2,1.49439e+17,1.44299,
4,1.49439e+17,0.798657,
8,1.49439e+17,0.447033,
16,1.49439e+17,0.397794,
1,1.49439e+17,2.39386,
2,1.49439e+17,1.39129,
4,1.49439e+17,0.803054,
8,1.49439e+17,0.443467,
16,1.49439e+17,0.393785,
1,1.49439e+17,2.38506,
2,1.49439e+17,1.36267,
4,1.49439e+17,0.790119,
8,1.49439e+17,0.444664,
16,1.49439e+17,0.391657,
1,1.49439e+17,2.37901,
2,1.49439e+17,1.39272,
4,1.49439e+17,0.790219,
8,1.49439e+17,0.445767,
16,1.49439e+17,0.381083,
1,1.49439e+17,2.39272,
2,1.49439e+17,1.37944,
4,1.49439e+17,0.78985,
8,1.49439e+17,0.401031,
16,1.49439e+17,0.392338,
1,1.49439e+17,2.38479,
2,1.49439e+17,1.21961,
4,1.49439e+17,0.802786,
8,1.49439e+17,0.444465,
16,1.49439e+17,0.400657,
1,1.49439e+17,2.35282,
2,1.49439e+17,1.36677,
4,1.49439e+17,0.792444,
8,1.49439e+17,0.447077,
16,1.49439e+17,0.385344,
1,1.49439e+17,2.37686,
2,1.49439e+17,1.37711,
4,1.49439e+17,0.798963,
8,1.49439e+17,0.406778,
16,1.49439e+17,0.389159,
1,1.49439e+17,2.38254,
2,1.49439e+17,1.22252,
4,1.49439e+17,0.790141,
8,1.49439e+17,0.401241,
16,1.49439e+17,0.376706,
1,1.49439e+17,2.39187,
2,1.49439e+17,1.23609,
4,1.49439e+17,0.800313,
8,1.49439e+17,0.451973,
16,1.49439e+17,0.391687,
1,1.49439e+17,2.34781,
2,1.49439e+17,1.37974,
4,1.49439e+17,0.814663,
8,1.49439e+17,0.400838,
16,1.49439e+17,0.400381,
1,1.49439e+17,2.35229,
2,1.49439e+17,1.21888,
4,1.49439e+17,0.799276,
8,1.49439e+17,0.404931,
16,1.49439e+17,0.388359,
1,1.49439e+17,2.3827,
2,1.49439e+17,1.21731,
4,1.49439e+17,0.792011,
8,1.49439e+17,0.445628,
16,1.49439e+17,0.384484,
1,1.49439e+17,2.35091,
2,1.49439e+17,1.3769,
4,1.49439e+17,0.787896,
8,1.49439e+17,0.444366,
16,1.49439e+17,0.39569,
1,1.49439e+17,2.34962,
2,1.49439e+17,1.36484,
4,1.49439e+17,0.789327,
8,1.49439e+17,0.443763,
16,1.49439e+17,0.395673,
1,1.49439e+17,2.37853,
2,1.49439e+17,1.22145,
4,1.49439e+17,0.803099,
8,1.49439e+17,0.448418,
16,1.49439e+17,0.373158,
1,1.49439e+17,2.38931,
2,1.49439e+17,1.3652,
4,1.49439e+17,0.788263,
8,1.49439e+17,0.405689,
16,1.49439e+17,0.382237,
1,1.49439e+17,2.39176,
2,1.49439e+17,1.21306,
4,1.49439e+17,0.798365,
8,1.49439e+17,0.403913,
16,1.49439e+17,0.364219,
1,1.49439e+17,2.55178,
2,1.49439e+17,1.22661,
4,1.49439e+17,0.677273,
8,1.49439e+17,0.462942,
16,1.49439e+17,0.391344,
1,1.49439e+17,2.53084,
2,1.49439e+17,1.3693,
4,1.49439e+17,0.790353,
8,1.49439e+17,0.444799,
16,1.49439e+17,0.407851,
1,1.49439e+17,2.3956,
2,1.49439e+17,1.38946,
4,1.49439e+17,0.788693,
8,1.49439e+17,0.447516,
16,1.49439e+17,0.393554,
1,1.49439e+17,2.38472,
2,1.49439e+17,1.36844,
4,1.49439e+17,0.790424,
8,1.49439e+17,0.448274,
16,1.49439e+17,0.402694,
1,1.49439e+17,2.40902,
2,1.49439e+17,1.38016,
4,1.49439e+17,0.81554,
8,1.49439e+17,0.447774,
16,1.49439e+17,0.383464,
1,1.49439e+17,2.38624,
2,1.49439e+17,1.36234,
4,1.49439e+17,0.802811,
8,1.49439e+17,0.404505,
16,1.49439e+17,0.377164,
1,1.49439e+17,2.38644,
2,1.49439e+17,1.21975,
4,1.49439e+17,0.787244,
8,1.49439e+17,0.445152,
16,1.49439e+17,0.370687,
1,1.49439e+17,2.33528,
2,1.49439e+17,1.21371,
4,1.49439e+17,0.789935,
8,1.49439e+17,0.403591,
16,1.49439e+17,0.380151,
1,1.49439e+17,2.35779,
2,1.49439e+17,1.21431,
4,1.49439e+17,0.787538,
8,1.49439e+17,0.40354,
16,1.49439e+17,0.373359,
