Num,Result,Time,
1,2.28396e+12,0.00332545,
2,2.28396e+12,0.00189747,
4,2.28396e+12,0.00433022,
8,2.28396e+12,0.00428753,
16,2.28396e+12,0.0080576,
1,2.28396e+12,0.00290848,
2,2.28396e+12,0.00161102,
4,2.28396e+12,0.0032737,
8,2.28396e+12,0.00680842,
16,2.28396e+12,0.00710784,
1,2.28396e+12,0.00270372,
2,2.28396e+12,0.00150171,
4,2.28396e+12,0.00142686,
8,2.28396e+12,0.00628671,
16,2.28396e+12,0.00388941,
1,2.28396e+12,0.00238117,
2,2.28396e+12,0.00139594,
4,2.28396e+12,0.00335853,
8,2.28396e+12,0.00232397,
16,2.28396e+12,0.00782738,
1,2.28396e+12,0.00395842,
2,2.28396e+12,0.00151497,
4,2.28396e+12,0.000791257,
8,2.28396e+12,0.00146157,
16,2.28396e+12,0.00697993,
1,2.28396e+12,0.00192647,
2,2.28396e+12,0.0012417,
4,2.28396e+12,0.00327763,
8,2.28396e+12,0.00379466,
16,2.28396e+12,0.00997438,
1,2.28396e+12,0.00236297,
2,2.28396e+12,0.0012509,
4,2.28396e+12,0.00318117,
8,2.28396e+12,0.00345986,
16,2.28396e+12,0.00650633,
1,2.28396e+12,0.00236499,
2,2.28396e+12,0.00112778,
4,2.28396e+12,0.00279523,
8,2.28396e+12,0.00417713,
16,2.28396e+12,0.0051439,
1,2.28396e+12,0.00190518,
2,2.28396e+12,0.00114977,
4,2.28396e+12,0.00143979,
8,2.28396e+12,0.00353985,
16,2.28396e+12,0.00606911,
1,2.28396e+12,0.00222295,
2,2.28396e+12,0.00121266,
4,2.28396e+12,0.00264439,
8,2.28396e+12,0.00300272,
16,2.28396e+12,0.00570421,
1,2.28396e+12,0.00191913,
2,2.28396e+12,0.00107423,
4,2.28396e+12,0.00290247,
8,2.28396e+12,0.00355355,
16,2.28396e+12,0.00604707,
1,2.28396e+12,0.00190578,
2,2.28396e+12,0.00109717,
4,2.28396e+12,0.0026824,
8,2.28396e+12,0.001527,
16,2.28396e+12,0.00605956,
1,2.28396e+12,0.00203679,
2,2.28396e+12,0.00111239,
4,2.28396e+12,0.00265274,
8,2.28396e+12,0.00138511,
16,2.28396e+12,0.00387766,
1,2.28396e+12,0.00192632,
2,2.28396e+12,0.00107251,
4,2.28396e+12,0.00285668,
8,2.28396e+12,0.00351161,
16,2.28396e+12,0.00456657,
1,2.28396e+12,0.00193245,
2,2.28396e+12,0.00107756,
4,2.28396e+12,0.00222115,
8,2.28396e+12,0.00356471,
16,2.28396e+12,0.00636534,
1,2.28396e+12,0.00188127,
2,2.28396e+12,0.00111135,
4,2.28396e+12,0.00263649,
8,2.28396e+12,0.000968933,
16,2.28396e+12,0.0038235,
1,2.28396e+12,0.00190433,
2,2.28396e+12,0.00107635,
4,2.28396e+12,0.00275994,
8,2.28396e+12,0.00351483,
16,2.28396e+12,0.00695783,
1,2.28396e+12,0.00191456,
2,2.28396e+12,0.00106321,
4,2.28396e+12,0.00262309,
8,2.28396e+12,0.000805132,
16,2.28396e+12,0.00388348,
1,2.28396e+12,0.00189572,
2,2.28396e+12,0.00114952,
4,2.28396e+12,0.00280869,
8,2.28396e+12,0.00352247,
16,2.28396e+12,0.00520091,
1,2.28396e+12,0.00188395,
2,2.28396e+12,0.00107537,
4,2.28396e+12,0.0011138,
8,2.28396e+12,0.00382066,
