,2,4,8,16
naive,0.8365,0.7277,0.6365,0.3833
bitwise,0.5000,0.4477,0.3583,0.2104
trans,0.2772,0.2500,0.1982,0.1191
simd,0.1838,0.1610,0.1250,0.0720
numa,0.0900,0.0813,0.0702,0.0625
